query_number,cold_run,hot_run_1,hot_run_2
1,1.0404062239999803,0.9472322110000277,0.8965976599997703
2,1.689471856000182,1.346642526999858,1.3214814299999489
3,1.7469532250001976,1.4746072580001055,1.37877939100008
4,1.7439603930001795,1.3636813269999948,1.3512357849999717
5,2.936107713999718,2.0561370300001727,2.1282759000000624
6,2.8558725190000587,2.0038734509998903,1.97680761599986
7,1.69515695400014,1.4691572759998053,1.3456853580000825
8,1.6250711119996595,1.3842389960000219,1.3600561129997004
9,2.6147017889998097,2.0260476919997927,2.1327682950000053
10,2.897200426999916,2.050884718999896,2.115924420999818
11,2.2357395330000145,1.654506068000046,1.609068046000175
12,2.1546434440001576,1.6279681700002584,1.5640158229998633
13,2.486127683000177,1.8353051200001573,1.8171127509999678
14,3.2421512870000697,3.0193624379999164,3.0650152839998555
15,2.342263131999971,1.8259091660002014,1.8759744899998623
16,2.4663558259999263,2.1563867530003336,2.1344190620002337
17,2.8597787880003125,2.524492236000242,2.6917144829999415
18,3.140234277000218,2.593408924999949,2.786213158999999
19,5.511348982000072,4.725282729000355,5.561565408000206
20,1.620465041999978,1.3384920399998919,1.2936535230001027
21,2.0519194510002308,2.0676821830002154,2.1258302090000143
22,2.5547028890000547,2.2188355559997035,2.2902710480002497
23,3.411603971999739,2.9629985540000234,2.8594662049999897
24,18.64479773000039,17.097055118999833,15.191711919999761
25,2.7628165699998135,2.0550657320000028,1.8856659640000544
26,2.8044814590002716,2.107587195999713,2.081534228000237
27,2.798178157000166,2.2591345060000094,2.1674007919996257
28,2.502321053000287,2.2766666280003847,2.1571412710000004
29,3.6375502199998664,3.1363819950001925,3.207568089999768
30,3.605144238000321,2.317783843000143,1.9626560920000884
31,2.994129065999914,1.9856780929999331,2.006695855000089
32,3.1070259040002384,2.349228053999923,2.451583145999848
33,7.095906541000204,6.19239765500015,6.681075485999827
34,4.595977251000022,4.215727025999968,5.063607956999931
35,4.730330065000089,4.538300839000385,5.347810088999722
36,2.5966064730000653,2.1274994390000757,1.98567913900024
37,1.2661847070003205,1.0103720860001886,1.0733591320004052
38,1.1505878060002033,1.0278212640000675,1.015490199999931
39,1.1362622019996707,1.0398681009996835,1.0317677340003684
40,1.3326920750000681,1.1566364860000249,1.0857469749998927
41,1.1370617940001466,1.0718531570000778,1.0154744040000878
42,1.1112553120001394,1.0172880119998808,0.9881489839999631
43,1.070890406000217,1.0268353129999923,0.9688462890003393
