groups,time
2^2,4.564390145998914
2^3,4.469183855006122
2^4,4.554840760989464
2^5,4.467617250003968
2^6,4.631848411008832
2^7,4.605331352009671
2^8,4.623334353003884
2^9,4.728168770001503
2^10,4.7978010490041925
2^11,4.893108628995833
2^12,4.97163179400377
2^13,5.1036421220051125
2^14,5.284271748998435
2^15,5.735453111003153
2^16,7.187867810003809
2^17,7.3460942700039595
2^18,7.441998947993852
2^19,7.833870467991801
2^20,8.674299696998787
2^21,10.325227622000966
2^22,11.985043421998853
2^23,13.435362663003616
2^24,15.35857586399652
2^25,17.67200954699365
2^26,21.305324809000012
2^27,29.471984896998038
2^28,44.49513226599083
